Unnamed: 0,drummer,session,id,style,simplified_style,bpm,beat_type,time_signature,midi_filename,audio_filename,duration,split,onset_env_mean,onset_env_std,mfcc_mean,mfcc_std,spectral_flux_mean,spectral_flux_std,spectral_contrast_mean,spectral_contrast_std,tonnetz_mean,tonnetz_std,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,tempogram_mean,tempogram_std,fitting_tags
0,drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,funk,138,1,4-4,drummer1/eval_session/1_funk-groove1_138_beat_4-4.mid,drummer1/eval_session/1_funk-groove1_138_beat_4-4.wav,27.872308,test,0.82046515,1.4719628,-14.319676000000001,73.69079599999999,0.37057763,0.803874,10.217503540669796,7.141570096748104,-0.0036438372999185,0.0481174431859921,0.03463583,0.058104638,5335.603725604639,2688.930490441029,4615.955290383537,1007.8596977907213,0.09282743,0.13351601,0.2395354641330255,0.1370666163904907,
1,drummer1,drummer1/eval_session,drummer1/eval_session/10,soul/groove10,funk,102,1,4-4,drummer1/eval_session/10_soul-groove10_102_beat_4-4.mid,drummer1/eval_session/10_soul-groove10_102_beat_4-4.wav,37.691158,test,0.6735154999999999,1.9968583999999998,-18.866692,81.94918,0.31895575,0.8361290000000001,9.38900118856289,5.8257210644982305,0.0009536018493859,0.0492961288230511,0.030455917000000002,0.063952535,6338.191485669521,3683.342441346508,4989.509116982614,1157.6659702064414,0.14263849,0.15570624,0.1396044775833052,0.1635392188158282,
2,drummer1,drummer1/eval_session,drummer1/eval_session/2,funk/groove2,funk,105,1,4-4,drummer1/eval_session/2_funk-groove2_105_beat_4-4.mid,drummer1/eval_session/2_funk-groove2_105_beat_4-4.wav,36.351217999999996,test,0.80753195,1.7718580000000002,-15.552315,76.598114,0.43062726,0.98605055,9.708105337474604,6.514864591232147,-0.0004615224133928,0.0321694868031651,0.03748435,0.067770675,6077.338238433817,3792.7227198983705,4680.404597550268,1377.3111985235792,0.124578856,0.14664647,0.1791916152484693,0.1300470305322105,['funk']
3,drummer1,drummer1/eval_session,drummer1/eval_session/3,soul/groove3,funk,86,1,4-4,drummer1/eval_session/3_soul-groove3_86_beat_4-4.mid,drummer1/eval_session/3_soul-groove3_86_beat_4-4.wav,44.716543,test,0.71461207,1.7394584,-18.966784,91.77899000000001,0.26166514,0.70728076,9.35925795236835,6.02807785391478,0.0013300854768584,0.0411052118339151,0.022330409,0.049949158,5542.225095474842,3417.4955248019755,4875.089778554207,1265.2509541935633,0.106045865,0.13844319,0.2087458945496734,0.1747639998457409,
4,drummer1,drummer1/eval_session,drummer1/eval_session/4,soul/groove4,funk,80,1,4-4,drummer1/eval_session/4_soul-groove4_80_beat_4-4.mid,drummer1/eval_session/4_soul-groove4_80_beat_4-4.wav,47.9875,test,0.61752146,1.8972608,-21.551085999999998,84.41725,0.23031669999999999,0.7182048000000001,9.49136991221747,5.857463284388409,0.0029389498049926,0.0384583419611846,0.021056365,0.051181797,7714.574395153777,3887.2639880722695,5119.254721009328,1091.7035002481025,0.18862651,0.15747444,0.1291875538931842,0.1491070714328754,
5,drummer1,drummer1/eval_session,drummer1/eval_session/5,funk/groove5,funk,84,1,4-4,drummer1/eval_session/5_funk-groove5_84_beat_4-4.mid,drummer1/eval_session/5_funk-groove5_84_beat_4-4.wav,45.687518,test,0.7582962,1.842032,-19.737217,90.40975999999999,0.2102266,0.6086255,9.479570922774009,6.137421295787682,-0.0006008046935072,0.0393608015116182,0.018424133,0.04330455,6598.285917356964,3400.082367300053,5100.033924749932,1121.55193754642,0.14250325,0.15587912,0.1963546870254666,0.1752103285477429,
6,drummer1,drummer1/eval_session,drummer1/eval_session/6,hiphop/groove6,hiphop,87,1,4-4,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.mid,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.wav,44.119242,test,0.72518224,1.8939762999999998,-16.550941,84.44591,0.36516148,0.84437436,9.268430685976183,5.440701353595093,0.0017097742506299,0.0326618597427779,0.031207101,0.05924386,6226.9778618303235,4157.397108739846,5294.247250965267,1422.3528184290967,0.12163867,0.15547195,0.182355012736881,0.1753344270244698,
7,drummer1,drummer1/eval_session,drummer1/eval_session/7,pop/groove7,pop,138,1,4-4,drummer1/eval_session/7_pop-groove7_138_beat_4-4.mid,drummer1/eval_session/7_pop-groove7_138_beat_4-4.wav,27.706546999999997,test,0.6916041,1.9322363,-17.682547,83.28777,0.35353586,0.9669098,9.315599206953637,5.551704112103756,0.0013819064999420001,0.0295730920971056,0.029190708,0.06634813,6499.95359437577,3031.738034873901,5556.908036477735,1021.829694589008,0.11480691,0.13415302,0.1673508032123076,0.1882409894609975,['pop']
8,drummer1,drummer1/eval_session,drummer1/eval_session/8,rock/groove8,rock,65,1,4-4,drummer1/eval_session/8_rock-groove8_65_beat_4-4.mid,drummer1/eval_session/8_rock-groove8_65_beat_4-4.wav,59.067313,test,0.5410758000000001,1.8200401000000002,-20.600187,85.864334,0.25758302,0.7512043,9.7460464845636,6.109888798552486,0.0028014067215458,0.0469555864068997,0.024081888,0.05750548,6645.861032890735,3704.0596661735435,5080.600262235801,1210.7348224881807,0.12709977,0.14112794,0.1078993213101687,0.1531614391255114,"['rock', 'rock']"
9,drummer1,drummer1/eval_session,drummer1/eval_session/9,soul/groove9,funk,105,1,4-4,drummer1/eval_session/9_soul-groove9_105_beat_4-4.mid,drummer1/eval_session/9_soul-groove9_105_beat_4-4.wav,36.540504,test,0.67527527,1.9044379,-21.315197,88.80812,0.21879418,0.58377963,9.883314951550489,6.578425407690793,-0.0004815574838173,0.0558794469219542,0.020261783000000002,0.043506954,5499.099512751976,3073.0309623320995,4705.542569131269,1088.4398941022412,0.09999336,0.13827379999999997,0.1588870850720613,0.1708359228659083,
